open_date,close_date,ticker,sector,signal_type,score,mtf_aligned,rsi,adx,mfi,volume_ratio,atr_at_entry,power_score,sector_flow,ml_probability,expected_value_pct,risk_reward,mae_pct,mfe_pct,days_held,exit_reason,final_pnl_pct,result,hit
2026-06-05,2026-06-12,4146,صناعية,breakout,6.55,3,66.2,16.4,69.1,5.5,0.49,0,,,2.62,1.01,-4.43,7.49,7,Trailing Stop Hit (after T1),3.52,WIN_PARTIAL_TRAIL,1
2026-06-09,2026-06-12,4291,عقار,breakout,7.57,3,73.5,26.6,79.7,6.5,2.95,0,,,2.01,1.0,-0.59,3.28,3,Breakeven Stop (profit protection),-0.5,BREAKEVEN,0
2026-06-09,2026-06-12,8010,تأمين,breakout,7.41,3,76.3,42.6,78.2,5.0,3.65,0,,,2.1,1.0,-0.33,4.28,3,Trailing Stop Hit (after T1),1.89,WIN_PARTIAL_TRAIL,1
2026-06-10,2026-06-12,8230,تأمين,breakout,6.27,3,69.8,28.0,94.4,2.4,2.43,0,,,1.84,1.0,-0.54,2.21,2,Breakeven Stop (profit protection),-0.5,BREAKEVEN,0
2026-06-10,2026-06-12,8180,تأمين,breakout,6.23,3,61.1,32.4,45.7,2.1,0.31,0,,,2.6,1.0,-0.36,4.74,2,Breakeven Stop (profit protection),-0.5,BREAKEVEN,0
2026-06-10,2026-06-12,1321,بتروكيماويات,support_bounce,6.03,2,62.1,51.7,45.2,6.7,7.05,0,,,3.49,1.0,-2.22,5.51,2,Breakeven Stop (profit protection),-0.5,BREAKEVEN,0
2026-06-11,2026-06-12,1833,فنادق,breakout,7.46,3,76.0,47.5,88.9,2.6,2.22,0,,,1.92,1.0,-2.21,1.86,1,Breakeven Stop (profit protection),-0.5,BREAKEVEN,0
2026-06-11,2026-06-15,2223,بتروكيماويات,breakout,9.18,3,64.1,32.5,57.3,2.8,2.41,0,,,1.64,1.0,-5.14,1.34,4,Stop Hit,-3.27,LOSS,0
2026-06-12,2026-06-15,4280,عقار,breakout,12.9,3,65.5,34.4,54.0,2.6,0.7,0,,,5.64,0.8,-7.75,5.61,3,Breakeven Stop (profit protection),-0.5,BREAKEVEN,0
2026-06-12,2026-06-15,4291,عقار,breakout,8.38,3,76.8,33.2,79.3,3.2,3.15,0,,,2.1,0.8,-0.12,2.15,3,Breakeven Stop (profit protection),-0.5,BREAKEVEN,0
2026-06-11,2026-06-16,2340,بتروكيماويات,breakout,10.22,3,70.8,27.4,91.6,10.1,0.29,0,,,2.39,1.02,-3.21,2.41,5,Breakeven Stop (profit protection),-0.5,BREAKEVEN,0
2026-06-11,2026-06-16,4263,نقل,support_bounce,6.06,3,60.2,13.3,71.9,3.6,2.63,0,,,1.17,1.0,-0.43,5.46,5,Target2 Hit,3.4,WIN_T2,1
2026-06-12,2026-06-16,8280,تأمين,breakout,8.1,3,73.9,18.1,87.8,9.1,0.27,0,,,2.07,0.8,0.0,5.89,4,Trailing Stop Hit (after T1),2.35,WIN_PARTIAL_TRAIL,1
2026-06-12,2026-06-17,8180,تأمين,breakout,7.97,3,71.0,34.1,60.5,2.8,0.32,0,,,2.63,0.79,0.0,8.15,5,Trailing Stop Hit (after T1),3.38,WIN_PARTIAL_TRAIL,1
2026-06-15,2026-06-17,2130,صناعية,breakout,10.1,3,78.7,55.4,84.1,2.3,0.69,0,,,4.35,0.81,-3.58,2.48,2,Breakeven Stop (profit protection),-0.5,BREAKEVEN,0
2026-06-15,2026-06-18,8012,تأمين,breakout,9.32,3,76.3,31.3,89.7,4.8,0.21,0,,,1.54,0.78,-4.32,0.66,3,Stop Hit,-3.14,LOSS,0
2026-06-16,2026-06-18,4040,نقل,support_bounce,10.82,3,57.4,27.1,69.3,0.8,0.27,0,,,2.06,0.78,-3.73,0.43,2,Stop Hit,-4.04,LOSS,0
2026-06-16,2026-06-18,6017,زراعة وأغذية,breakout,10.62,3,61.8,25.4,71.7,2.4,0.45,0,,,3.13,0.79,-2.89,1.76,2,Breakeven Stop (profit protection),-0.5,BREAKEVEN,0
2026-06-16,2026-06-18,4017,رعاية صحية,breakout,10.26,3,69.8,18.3,74.9,4.2,0.78,0,,,1.78,0.8,-1.76,1.55,2,Breakeven Stop (profit protection),-0.5,BREAKEVEN,0
2026-06-12,2026-06-19,1320,بتروكيماويات,breakout,9.05,3,60.6,22.6,74.5,2.7,1.55,0,,,2.53,0.8,-3.18,0.77,7,Max Holding Days Reached,-0.11,TIME_LOSS,0
2026-06-17,2026-06-19,4291,عقار,default,7.63,2,76.4,39.8,87.0,4.8,3.27,0,,,2.13,0.8,-1.97,1.65,2,Breakeven Stop (profit protection),-0.5,BREAKEVEN,0
2026-06-18,2026-06-19,8250,تأمين,breakout,12.17,3,76.3,37.9,77.3,4.2,0.85,0,,,2.47,0.8,-1.51,1.76,1,Breakeven Stop (profit protection),-0.5,BREAKEVEN,0
2026-06-12,2026-06-22,1321,بتروكيماويات,default,7.58,3,69.5,51.9,46.3,1.6,7.66,0,,,3.65,0.8,-4.08,2.77,10,Max Holding Days Reached,1.58,TIME_WIN,1
2026-06-15,2026-06-22,6019,زراعة وأغذية,breakout,12.09,3,67.8,22.8,76.5,3.6,0.58,0,,,2.19,0.8,-2.6,0.65,7,Max Holding Days Reached,0.56,TIME_WIN,1
2026-06-18,2026-06-22,4061,تجزئة,support_bounce,12.97,3,62.2,34.9,79.0,6.2,0.27,0,,,2.16,0.8,-1.87,2.41,4,Breakeven Stop (profit protection),-0.5,BREAKEVEN,0
2026-06-19,2026-06-22,8280,تأمين,breakout,12.62,3,80.9,36.0,88.8,3.3,0.42,0,,,3.18,0.79,-5.52,1.89,3,Breakeven Stop (profit protection),-0.5,BREAKEVEN,0
2026-06-19,2026-06-22,4325,عقار,default,11.56,3,64.0,30.7,76.9,1.4,0.42,0,,,2.17,0.79,-0.89,1.78,3,Breakeven Stop (profit protection),-0.5,BREAKEVEN,0
2026-06-19,2026-06-22,7200,تقنية,breakout,10.4,3,77.2,27.5,82.5,3.9,5.45,0,,,2.27,0.8,-2.49,1.57,3,Breakeven Stop (profit protection),-0.5,BREAKEVEN,0
